train,2016,2017,2018,2019
101,0.003943451422091061,0.003941223520912351,0.003922406556676485,0.003655468168942763
103,0.006727064190625927,0.00716644735144619,0.006410158575113322,0.007310936337885526
135,0.027114450300913695,0.026266222875867586,0.01851314845622014,0.02555662810754356
139,0.012255628439243785,0.012500967567149161,0.009462615039453,0.010080230405266406
143,0.014227354150289317,0.013294372629460484,0.011370400329665298,0.012311490196699002
147,0.015206773457736768,0.01322341770518874,0.010134155461607728,0.010950579969300397
151,0.012216967150791912,0.01455866037102975,0.009630500144991682,0.010934755431772506
155,0.014833047669368661,0.014971489021338082,0.014087086582927611,0.012517209184561581
159,0.015284096034640517,0.018099956136955905,0.02591535538224386,0.025509154494959885
191,0.010612523680039176,0.008811311505018448,0.011568809999847378,0.012042473058724858
193,0.015039241207778652,0.013862012023634442,0.010943056424657743,0.009463073441678667
195,0.012332951016147533,0.013120210542611659,0.011553547717525679,0.009510547054262339
197,0.008627910872843023,0.008275924349149833,0.006043863799392561,0.004256800595002611
199,0.004787556219956957,0.004986196042005315,0.003006669617374582,0.0028642412925482252
207,0.018512313620371923,0.018377325386381815,0.019322049419270158,0.017533587580902947
211,0.015780249236439555,0.013900714709600847,0.0160864455670701,0.01756523665595873
215,0.030813046896142893,0.030349356245323426,0.03235603852200058,0.03449749181080183
217,0.0444540381715788,0.0467399437520964,0.04712992780940462,0.04965739876252116
221,0.03371264353003338,0.03369068813375648,0.05602783840295478,0.04174512999857579
225,0.03529775635656018,0.037244884795004776,0.039300376978373346,0.04081148228443024
227,0.04538190909442375,0.039883117888381454,0.04757253399673387,0.05092336176475243
231,0.030819490444218205,0.0286786903011069,0.027029501991727843,0.02772458974886459
233,0.04007886902844182,0.04116675697293393,0.040445048152500725,0.042583830487554
237,0.019317757129785947,0.018686946874113063,0.015537003403488958,0.018372288069881157
257,0.010747838189620733,0.010494878344557111,0.00558599532974161,0.005760131660152232
261,0.02633478098380092,0.027607915989369663,0.02516750354848064,0.0249711202190116
263,0.013235047746691238,0.014016822767500065,0.017627936081561636,0.016188501891032235
267,0.019362861966313132,0.020164099388497565,0.018406312479968254,0.018578007057743737
269,0.03337757903011714,0.03577418272828135,0.032569710474504354,0.032440301932176036
273,0.019195329716355018,0.018461181205975695,0.021519818073594724,0.02071431962400899
277,0.022056265061793628,0.023163557550894033,0.02382442270417118,0.02289810580285791
279,0.02607059551271312,0.02497613334365405,0.023397078799163626,0.024005823429810263
283,0.012390942948825341,0.010636788193100603,0.010836220448405855,0.010412545693352112
287,0.009381805997654548,0.010849652965915835,0.012515071503792677,0.01289699808523096
289,0.012146088121963479,0.013229868152849808,0.011126203812518123,0.010602440143686801
305,0.013235047746691238,0.012900895322135357,0.012789792585583248,0.012374788346810564
309,0.022487982782839543,0.022150837268106405,0.02316814456433815,0.022344246989381734
313,0.03302962743405029,0.032729571432257396,0.03417225011828269,0.03712436504043169
319,0.04282382050852482,0.04481125990143717,0.04145235878573282,0.0419033753738547
323,0.04463445751768754,0.042431044714503194,0.0416049816089498,0.04035257069612141
329,0.041348247999278324,0.04755270015739092,0.040811342928221486,0.044387827765733544
365,0.023551168215266056,0.023324818742420726,0.02336655423452023,0.022613264127355877
371,0.018956918437568464,0.02013829759785329,0.021428244379664535,0.02095168768692735
375,0.031637821049782855,0.028569032690868745,0.026174814181712733,0.025255961894513634
381,0.017880845908991326,0.015481074386562429,0.02156560492055982,0.018119095469434906
385,0.018737837803007848,0.018738550455401605,0.01752110010530975,0.01672653616698052
